review_text,Review_Angles
"Let me put it to you straight.

Pokemon lends itself pretty well to a survival craft.

Multiplayer is very fun.

The designs are shamelessly ""inspired"" but honestly that just makes it funnier and more enjoyable.","Genre Fit, Multiplayer, Design Humor"
dang good,Overall Quality
ee ah ah woo woo,"Sound Imitation, Emotional Expression"
best with friends but good for solo also,"Social Play, Solo Play"
good,Overall Satisfaction
"Fun, almost family-friendly game. Definitely more fun with friends though!","Fun Factor, Family-Friendliness, Multiplayer Experience"
"is weird, fun and kind of addictive!","Fun Factor, Addictiveness, Uniqueness"
"Really fun game, I enjoy ever bit of it. Can't wait what's more to come.","Overall Enjoyment, Fun Factor, Future Content Anticipation"
"Awesome game - esepcially given it's only just been released on early access.

People say it's Pokemon with guns, but I think Ark: Pokemon Enslaved is more accurate.

Yes. there's bugs and work to do, but it's week one of their public relase - Satisfactory is another great game that's highly polished and still ""early release"".  Looking forward to what will come next!
","Early Access Value, Gameplay Comparison, Technical Stability"
"I support the unique concept and gameplay but the map is too small and too handcrafted, too mountainous and narrow, so the map kinda sucks. Also its too grindy for what it is and the pal limit in a base should have an option for infinite pals, so as long as your hardware handles it you can have a mega base. Seems they went more linear focused than they should've.","World Design, Progression Grind, Base Building"
 So sexy honey,"Sex Appeal, Aesthetic Attractiveness"
It's Aight,Overall Satisfaction
"boss
",Boss Design
"Early access however, promising. Supporting it and hoping for the best.
6/10 A fun time.

Update after the Sakurajima Island / oil rig add on. Most major bugs have been fixed, a few mechanics added, some exploits closed. If you want to run through and experience content casually, you can. If you want to grind something for perfect stats, you can. Its at the level that most AAA's would release.
7/10 Really gaining speed.","Early Access Potential, Technical Stability, Gameplay Flexibility"
yes,General Approval
Look things up to speed up your understanding of the base building and resource farming mechanics. You will enjoy this game much more on a server with friends. It's really fun,"Gameplay Mechanics, Multiplayer Experience"
good game,Overall Quality
"It has a lot of minor and major issues, particularly the basebuilding component of the game is just tedious, annoying, and buggy at the moment. Pal pathfinding and work-priorities are just... nonexistent, basically. 

That being said, exploring the outside world, throwing balls at everything that moves, and beating things up with baseball bats is pretty fun. If you aren't 100% convinced to play the game, maybe wait for a few major updates, but if you think the game could be fun, just grab it. It's good.","Technical Stability, Gameplay Mechanics, Consumer Value"
"Very great game loop. I'd like to address some issues that I've noticed, and we have worked around.

Common issue 1: You always need ingots
While that's true, there are ways to make all the surplus ingots that you'll need.
We have a partially automated mining/smelting base. the only thing we have to do, is occasionally go and put ingots in a furnace to smelt. 
It doesn't matter what chests the mons put the ore in, because you will pull from all of them. Never worry about finding materials, as when you craft, it looks through all chest. (Amazing feature that I wish Ark had)

We have our main base, where we craft our weapons, spheres, etc
A metal/coal base (Look around, you'll find locations), where we get all of our ingots, 
and a farm base. 
We have 2 berry farms at each, and profit in berries, and a few others like tomato and wheat at our farm/breeding base. 

**Engineer around your issues, this isn't Pokemon. **

Commons Issue 2: There's so many bugs, and jank!
There's a little jank in some things, but it's been out in early access for a week... give it some time. For the most part, the bugs aren't game breaking. On dedicated server, I did have where I got stuck in opening a cage animation, but that was it in all 70 hours of gameplay. The other things are like, mons looking like they are walking backwards, or upside down. 
There are also some really funny ones, like where you can catch the bosses, or use the police force to fight for you (The police force following you all over is fixed by relogging) 

Modding! Modding is expected to be officially supported. And when that happens, most of, if not all of these issues will be resolved by modders. 


Long review longer -- If you enjoy the game loop of, gather, craft, build, fight, repeat. You'll love this. If you're looking for something earth shattering, you won't find it here. It's got a very fun game loop, and is nice to relax with. Again, it's not Pokemon. The game loop is different, don't expect something it's not.
If you have anything to add, or correct me on, comments are enabled. =)","Gameplay Loop, Resource Management, Base Building"
This game very kool,General Appeal
funn,Fun Factor
it broke my warzone addiction,Addiction Breaking
"Even after taking a break from this game at launch. Playing this game again after multiple updates and it's still fun to play. Palworld has almost everything I wanted from Pokemon. All the pals in this game have incredible animations to show each of their own quirks and character. Having a base pal like Lullu in the base and it spins when helping you build is amusing to look at. 

New quality of life updates such as making bigger pals not get stuck and no longer needing to hold F thanks to a new toggle button help make the game more enjoyable even now.

The game is still in early access but I am very much looking forward to the final version once it releases.","Gameplay Enjoyment, Animation Quality, Quality of Life Updates"
this game is quiet interesting and unique in some perspective. i tried rust.it was not bad. i have played pokemon also. its a mixture of this two. and the dev made it in the best possible way. i was intrigued of its hyped since its release. after getting my hand on this game. i realised how addictive and wonderful game this is,"Uniqueness, Developer Execution, Addictiveness"
It is very fun and cool,"Fun Factor, Cool Appeal"
Still Fun after all this time.,Long-term Enjoyment
"It needs a lot of work. It's playable and fun, but it's a buggy mess. My recommendation is get it in a few months, mods will come out and give you a better experience.

If you leave a guild/change leaders, all other offline guild members will become corrupt. You will often fall through the world. A lot of the gameplay also depends on what server you join because lag can make or break a battle.


","Technical Stability, Multiplayer Reliability"
fun,Enjoyment Perspective
slavery,"Ethical Concerns, Moral Perspective"
Runs better in early access than some fully released 60 dollars games,"Technical Stability, Consumer Value"
where's vaporeon,"Content Availability, Pokémon Roster"
Sick!,Cool Factor
"It gud
",Overall Satisfaction
very great game own slaves and make them work or fight for you whats not to love,"Gameplay Mechanics, Entertainment Value"
Fun game,Fun Factor
"Valheim + Pokemon + Fortnite, a decent sum of it's parts. Really needs new building blocks and better AI pathing which are confirmed to happen in the roadmap, but otherwise one of the best survival + crafting games.","Genre Comparison, Technical Issues, Content Roadmap"
I endorse animal slavery,"Ethical Perspective, Moral Stance"
yea it cool,Overall Appeal
fun,Fun Factor
Better than Pokemon.,Comparative Quality
"great game!!
still in develpoment too","Overall Game Quality, Development Status"
The genius in this game is how all the elements are woven together. The developers took a bunch of very common game mechanics and meshed them together to create one of the best gameplay experiences ever.,"Gameplay Integration, Mechanic Synergy"
pokemon but 100x cooler,"Comparative Appeal, Coolness Factor"
Amazing game absolute 10/10 a must buy,Consumer Value
I don't know what everyone liked about this game.  It was a bad ARK rip off with wanna be pokemanz.  Total waste of money.,"Originality, Consumer Value"
"amazing game however you should own a musket for home defense, since that's what the founding fathers intended. Four ruffians break into my house. ""What the devil?"" As I grab my powdered wig and Kentucky rifle. Blow a golf ball sized hole through the first man, he's dead on the spot. Draw my pistol on the second man, miss him entirely because it's smoothbore and nails the neighbors dog. I have to resort to the cannon mounted at the top of the stairs loaded with grape shot, ""Tally ho lads"" the grape shot shreds two men in the blast, the sound and extra shrapnel set off car alarms. Fix bayonet and charge the last terrified rapscallion. He Bleeds out waiting on the police to arrive since triangular bayonet wounds are impossible to stitch up. Just as the founding fathers intended.","Entertainment Value, Humorous Narrative, Cultural Satire"
"This game is like the love child of Ark:survival evolved, and Pokemon. Two of my favorite series. This hits such a small spot in my brain that makes me so happy, I did not know I needed that space filled till I played this game. I look forward to seeing what the developers do to continue their improvements to the game, and I look forward to seeing what they add as the game continues. 

beware, this game can be addicting.","Genre Fusion, Emotional Engagement, Addictiveness"
"you're missing out if you havent tried this game yet
(im seriously addicted and need help)

but seriously though, there is so much to do in this game even though its only in early access. my hopes are high for the future of this game and hoping it doesnt fall off after the first month.","Gameplay Engagement, Content Depth, Long-term Potential"
good,Overall Satisfaction
"So I'll start this by saying I am an AVID survival/building game lover. This game gives you a lot to work with. The building could use some work but its still quite easy to work with. Pieces line up nicely but it's lacking the small detailed parts all builders love and use. The single player is a ton of fun and progression is fun and doesn't feel like a grind even though it absolutely is. The Pals all have their own personality traits which really does make a difference as you progress. I have put 60 hours in since release day and can say without a doubt this has very quickly become a favourite. I will add that most of the Favorited host companies have this game, but be weary as some of them appear to currently be having some really bad lag issues which makes the game just about unplayable.","Building Mechanics, Progression Experience, Multiplayer Stability"
"Who doesn't love an amalgamation of Ark, Pokemon & Breath of the Wild? I sure love it. God, forcing sentient animals to work for me feels good. Its so fun.","Genre Fusion, Creature Domination Mechanics"
Great game!,Overall Quality
"Однозначное да!
Классная игра на одного или в компании друзей.
Несмотря на свой довольно детский вид, совсем не детская игра.
Любителям аниме и покимонов зайдёт!
Да и оценки игроков, бешеный онлайн побивший бесплатную КСку говорит сам за себя.
Хватает кривых текстур, багов, редких подвисаний (возможно из-за железа)
Но несмотря на это очень зашла игра да и ещё по такой цене в наше то время.

п.с. Я не слышал об это игре до момента её выхода и прорыва в топе по продажам, для меня это получился отличный сюрприз.","Consumer Value, Technical Stability, Audience Appeal"
Epic game we love,Overall Enjoyment
"Palworld is like virtual crack if you grew up loving Pokemon and Legend of Zelda, and happen to like Ark Survival. Fun game, really enjoying it so far. But the game has a massive memory leak issue which makes it almost unplayable. Wait for a fix before getting this game.","Gameplay Appeal, Technical Stability"
"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣤⣶⠂⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣾⣿⠀⠀⠀⠀⠀⠀⣠⢾⣿⣿⡟⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⠞⢻⣿⣿⠏⠀⠀⠀⠀⣠⠞⠁⢸⣿⣿⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⡞⠁⠀⢸⣿⡟⠀⠀⠀⢀⡾⠁⠀⠀⢸⡿⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⠋⠀⠀⠀⣸⠟⠀⠀⠀⣠⠟⠀⠀⠀⢀⡞⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡼⣁⣠⠤⠶⠒⠛⠶⠦⢤⣴⠃⠀⠀⠀⣠⠏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡾⠉⠉⠀⠀⠀⠀⠀⠀⠀⠀⠃⠀⠀⣠⠞⠁⠀⠀⠀⠀⠀⠀⡀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⡞⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠰⣯⠀⠀⠀⠀⠀⣀⡴⠚⢻⣄⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⢰⡖⣆⠀⠀⠀⠀⠀⡖⠺⣷⡀⠀⠀⠀⢸⡆⠀⣀⡴⠚⠁⠀⠈⠢⡊⢷⡀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⢀⡇⠸⣿⠇⢀⠀⠀⠀⠀⠻⢿⣿⠇⠀⠀⠀⠀⡷⠞⠁⠀⠀⠀⠀⠀⠀⠈⠀⠙⢦⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⡿⢆⠀⠀⠀⠈⠁⠀⠀⠀⠀⠀⡴⠉⠉⢢⠀⠀⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⢳⡄⠀
⠀⠀⠀⠀⠀⠀⠀⠀⢷⡼⠀⠀⠈⠉⠉⠉⠁⠀⠀⠀⠱⢤⡠⠎⠀⢠⡇⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⠴⠚⠉⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠈⠳⣄⠀⠀⠀⠀⠀⢀⠀⠀⠀⠀⠀⠀⠀⣠⡿⣤⡀⠀⢀⠀⠀⢠⡴⠚⠉⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⡷⢤⡴⢚⡉⠉⠉⠙⠳⣄⠀⣀⡚⠁⠙⣦⠉⠳⢤⡁⠢⠀⢙⡦⢤⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠐⡧⡀⢠⢾⡁⠀⠀⠀⡀⣽⣠⠟⠛⠂⠀⣾⢀⡤⢞⡧⠀⠀⠈⠉⠙⢦⣠⢴⡄⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣽⠧⣼⢿⡷⢿⣾⣿⣿⣿⣿⣿⡆⣠⡶⣷⡋⠙⠁⠀⢀⣀⡤⠶⠚⠋⠉⠿⠗⢀⢤
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⡇⢀⣠⣾⣶⠶⢿⣿⣿⣿⣿⣿⣿⢯⡇⠈⠙⢦⡀⠀⠙⢦⡀⠀⠀⠀⠀⠀⠀⠸⠜
⠀⠀⠀⠀⠀⠀⢀⣠⠤⢤⣾⣻⣿⡛⠭⠝⣿⣕⠼⢿⣿⣿⣿⡟⣴⣿⠀⣠⡴⠋⠀⠀⠀⣹⣦⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⣠⠶⠞⠛⢚⠳⠮⣄⡚⢿⣦⣤⣴⠟⢻⡆⢸⣿⣿⣿⣟⡎⢹⠛⠉⣻⣦⠴⠖⠋⠉⠀⠀⠀⠀⠀⠀⠀⠀
⠀⣠⢞⣅⡀⠀⣾⣿⣷⠀⠀⠙⣦⠈⢿⠃⣉⣽⣗⡾⠿⠛⢻⣿⣷⡿⠞⠋⠉⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⣰⠳⣿⣿⣯⠀⠙⠛⠋⣠⣶⡄⠈⣧⠘⡗⣯⣽⣟⠁⠀⠂⠀⠹⣿⣷⣦⣤⣀⣀⣀⣀⣀⣀⠀⠀⠀⠀⠀⠀⠀⠀
⡏⠀⣉⣍⠉⠀⠀⠀⠘⣿⣿⡿⠀⢸⡗⣿⠏⠀⠉⠉⠛⠒⢶⠺⣯⣿⠛⠿⠿⠿⠿⢿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀
⡇⣼⣿⣿⡃⠀⠀⠀⠀⣠⣤⣄⠀⢸⣷⠃⠀⠀⠀⠀⠀⠀⠈⠙⠓⠏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠹⣜⠛⠛⢃⣴⣶⣆⢸⣿⣿⣿⢀⡾⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠙⢦⡀⠘⢿⣿⠿⠀⠈⠉⣠⠞⠃⠀
⠀⠀⠀⠉⠓⠦⠤⠤⠤⠶⠛⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀","Visual Humor, Creative Expression, ASCII Artistry"
it good!,Overall Satisfaction
"Yeah, I feel like my game time isn't enough to fully experience the game, but I really wanted to share my opinion. At the end of the day, all we want is a game that is fun and engaging, and I think this game achieves that. Despite the current issues it's facing (being labeled a Pokemon clone, bugs, early access, etc.), we can see that the development team is passionate about what they're doing. Perhaps they're also fans of Pokemon who grew tired of the franchise sticking with the same old gameplay mechanics. Playing this game brings back memories of when I first played Pokemon on my Gameboy.

Edit: Need to update this for the badge lol. The game continues to release updates despite the fact that they are currently facing legal issues with **** and I hope they win this fight.","Fun and Engagement, Developer Passion, Nostalgic Appeal"
"best game since 52
",Comparative Quality
Great game,Overall Quality
just the best game with friends EZ,"Social Experience, Fun with Friends"
Im having a lot of fun. I came in expecting not to enjoy it but its just a straight injection of DOPAMINE to the brain.,"Fun Factor, Unexpected Enjoyment"
this game is peak,Overall Quality
Pokemon if it was actually good,"Consumer Value, Overall Quality"
great,Overall Satisfaction
it was fun,Fun Factor
this game lit af just caught a vaporeon,"Fun Factor, Capture Mechanic"
"Does this game have a clearly derived gameplay style?  Art style?  Does it completely reinvent the wheel in the best possible way? Nope, not at all.

Neither does a fat, juicy bacon cheeseburger and a pint of beer.

Both the game and the meal may not be the most ""original"" thing you've ever had, but I'll be damned if they both don't take a lot of what you love and mash them together in one hell of a package.  Palworld activates neurons and the creators treat the playerbase right, and while that might not seem like ALL that, I guess it's more of an indictment of the industry at large that something that really doesn't seem like it SHOULD be one of the best games of the year, IS one of the best games of the year simply because the developers give the players what they want and don't treat the players like children and/or money cows.

It doesn't have to try and be the next cutting-edge, complex, ground-breaking thing in order to make its customers happy.  It just has to be a damn good ""cheeseburger"" - and it has that in spades.","Execution of Familiar Elements, Player Engagement, Developer Respect"
fun game :),Fun Factor
"This is genuinely good, like many others I bought this after they showed you can capture humans however unlocking the crafting/technologies in order to get to the guns/good stuff has also been fun on it's own. One thing I've noticed at my camp is some monsters will get stuck on the border of the base area because of a ledge. When they get hungry, they just stay there stuck and hungry. It won't allow me to pick them up sometimes too, but I just go return them to storage and put them back to camp which fixes it just fine.
It's pretty open sandbox and you can fast travel to a small handful of locations off the bat, however you'd be facing quite the challenge at some of them if you go unprepared/underleveled. There are fast travel locations to unlock that make filling out your collection easy as well as when you need to get back to base. I built my base by the beginning fast travel point so it's pretty convenient coming back after a long travel.
Only lv11 so far, but I think I'll definitely continue and hope the devs keep up the great work.","Gameplay Loop, Technical Stability, Sandbox Freedom"
The game crash and i lost my server. Today is the 3rd time it crash and server went missing. Dev please fix it. I am getting irritated,Technical Stability
great game hands down the best so far dont even like survival type games but i love this game,"Consumer Value, Genre Appeal"
cool,Overall Appeal
Yeah the biggest middle finger to Nintendo truly is fun and proves that Nintendo should just stop trying in the gaming industry,"Entertainment Value, Corporate Critique, Industry Viability"
"This game make everyone see that twitter or any other BS its not the real world, its a game, a vitual world ethics do not mater in a virtual world, make a fun game that its fun to play and people will play it.
+ For some reason people only care about ethics on twitter on some games, i mean pokemon its already slavary + dog fight, in a lot of action game u kill a lot of civilians, ark its animal cruelty with less cute creatures.

Pros:
- Insanaly fun to play and an incredible game loop (a bit slow if u dont increase the xp multiplier in solo)
- No performance issues (at least for me), for modern games and for a game in this early state of the early acces its a huge win
- Incredible good base for the game, you have to fkup really hard to makee the game worse in future updates
- Finally someone who know about law and know that because an intelectual property (pokemon, ark...) its dominant on certain genre/art style they do not own the right to it, and nintendo had been trying to make the world think that they own the creaturee catcher style or the cute creatures in that cartoon art style when they do not own it. (also nintendo didnt invent the creature catcher genre)
- Good progresion line for this stage of the early access, normally in this stage of early access you get frustrated because u can see clearly that something is missing in the progression of the game but its not the case on this one.

Cons:
- Its an early stage of an early access, expect bugs and core parts (history for example) missing
- Its missing core options on world customization, like stat increase multipliers for player, pals and captured pals so u can adapt the difficulty of the game to you
- There is some serious bugs with the Pals working in base, specially if u have a base with verticality, pals do not know what to do
- Its missing a structure/way to make pals do things in a priority order. Example: ""If there is something to craft priorize that, then priorize build, then priorize harvest, then priorize mining"". This way would be easier to automatizate the base
- Its missing (or at least i do not know a way) to move huge quantity of materials from base to base, im missing a Pal that have inventory, like an special upgrade for one of the big Pals like the green pal that increase the weight u can have that make that Pal a walking chest with weight limit of 6-10k, make that Pal be the worst in combat by far but have that utility
- The rest of cons i have are mainly bugs but its an early access so they are not really cons (raid bugs, some pals getting hard stuck)

Hard Pro:
- Twitter hate it","Virtual Ethics, Gameplay Loop, Technical Stability"
If you want to chill you can build on your base and If you want to fight you can go on a journey - quite relaxing game! Still to many crashes but it is early access so thats fine,"Gameplay Flexibility, Technical Stability"
"I actually enjoy this game. It is garrison building, exploring and survival. The one thing I wish this game had was a way to move things you built for your garrison into new locations without having to deconstruct it. Pretty much every living thing can be captured as a Pal, though the real challenge is capturing humans.

This game is great solo, I haven't tried multiplayer yet but I am sure some of my buds will snag it and we will try shortly. Worth the price.","Gameplay Loop, Solo Experience, Consumer Value"
super megha ekwl,Overall Satisfaction
a game from unknown devs who put a certain multi-billion dollar company to shame,"Indie Developer Excellence, Comparison to Big Studios"
get it,Consumer Recommendation
its pretty fun,Fun Factor
fun and addicting game,"Fun Factor, Addictiveness"
"It's like ark: survival evolved but instead of dinosaurs it's a parody of pokemon. It's also WAAY less janky than ark was at any point. It also delves into a lot of the fucked up aspects of a realistic pokemon society that the pokemon franchise usually just pretends doesn't exist. Need to catch your first pal but you don't have one to battle for you? Beat the shit out of one and stuff it into a ball. Need to eat something but there are no normal animals? Kill and eat the pals.

All in all, it's a fun, and at times, cute game you can play with your friends.","Technical Stability, Thematic Depth, Co-op Enjoyment"
slavery simulator,"Ethical Concerns, Thematic Content"
"I don't usually write reviews, but for Palworld, I might just have to. Honestly,  and gameplay loop is pretty good if you live survival style games, overall not amazing but fine for an Early Access and for the price point.
The main reason I had to refund is due to the dedicated multiplayer servers are almost unplayable. I will get booted every 20-30 minutes, and will get random errors when server lists are refreshing. Now, the worst part is that my progression/save in the dedicated 32-player servers upon restart is lost, and I have to start from zero and go all the way back to the character creation screen. The local server/single player mode works fine though, aside from the in-game bugs  and what not.
Also, the optimization could use a lot of work. Too much noticeable pop-ins even on the highest graphical setting on my RTX 4090. Also performance could be better, DLSS helps with this by quite a bit. And finally, wehave to talk about the art assets. For the most part, the visuals are okay. The environments are a bit bland/empty, and low quality textures. Also some of the asset's LODs (specifically the trees are a bit jarring).

I hope they can work out the dedicated servers soon, so I could repurchase again when the game has better dedicated servers. Aside from some technical and graphical flaws, the gameplay is pretty decent.","Gameplay Loop, Multiplayer Stability, Technical Optimization"
great game,Overall Enjoyment
"Perfect, just utter perfection",Overall Satisfaction
"It's very fun! It's like a mix between Pokemon Legends Arceus and Conan Exiles. Some crafting, base building, worker and resource management, battling, exploring, collecting - it ticks a lot of boxes. It's in great shape for an Early Access title. If any of that sounds interesting to you, give it a shot! If it started this great, I can only hope that it gets even better with time.","Gameplay Variety, Early Access Quality"
"Amazing game already, feature rich in early access
if you live survival crafters, mon catchers, or factory games you'll love palworld","Early Access Value, Genre Appeal"
"I can't believe finally someone decided to make a chill open world game, almost like FireFall.

Has few quirks but this game is a blessing.","Open World Gameplay, Technical Stability"
so gas,"Overall Hype, Vibe Appeal"
,
Cannot wait to see where they take this game,Future Development
eletric guy charging my base by having sx wth it hh,"Gameplay Mechanics, Humorous Content, Adult Features"
Monster collector game with guns. Its very good and more mature than pokemon.,"Genre Comparison, Maturity Level, Overall Quality"
awesome,Overall Satisfaction
Its a fun game that has features i wanted in a survival game that's it.,"Fun Gameplay, Survival Features"
I speak on behalf of all of E621 when I say that this game is as fun as it is promising!,"Fun Factor, Promising Potential"
its just very nice to play,Gameplay Enjoyment
cool,Overall Appeal
pokemon with guns,"Gameplay Analogy, Genre Fusion"
Good game.,Overall Quality
10月10日,Overall Satisfaction
"Not everyone is having this issue but should be brought up. The game after download and installation, and when attempting to play from Steam, is having an error where it is not registering the Microsoft Visual C++. There is currently no fix.",Technical Stability
,
"guns.mons,buiulding and exploring. What more could you need.","Combat Mechanics, Building, Exploration"
rad as hell. impotus to continue catching so that you can find a pokemon with rad buffs then fuse your others into it. I see the loop and very much dig,"Gameplay Loop, Player Engagement"
ARK: Survival Evolved,"Survival Gameplay, Technical Stability, Multiplayer Experience"
I can enslave people,"Player Agency, Ethical Implications"
NINTENDO SUCK MY FAT ONE !!!!,Brand Dissatisfaction
"THERES NO LAWS AGAINST PALS BATMAN 

RS tho this jus combo of Pokemon, Ark and Minecraft. 10/10","Genre Fusion, Comparative Value"
"There are a few things I don't like...

The humans drop ammo, but never a finished weapon. Building your base anywhere there is a ledge means your Pals will fall down, be unable to path back, and eventually starve to death. The Wandering Merchant shouldn't show up so early in the game...there's no way to buy their goods yet. 

Other than that? I like almost everything else, and I love quite a bit of it! The Partner Modes for the Pals is a great feature!","Gameplay Balance, Technical Stability, Feature Appreciation"
"what pokemon should have done a long time ago
","Innovation Perspective, Franchise Evolution"
i dont want to type,"Usability, Input Convenience"
Nice :),Consumer Value
its a cool game,General Appeal
The Pals yearn for the Mines,"Mining Mechanics, Pal Management"
amazing game good graphics calm at first have some strategy u need building. pokemon ark pretty much but it just one of my favorite games its expensive for some but it totally worth it.,"Visual Quality, Gameplay Mechanics, Value for Money"
Interesting game mechanics. More curious about how this will evolve during the next year,"Game Mechanics, Future Evolution"
Gret,Overall Satisfaction
Hey that's pretty good.,General Satisfaction
pokemon with slave labor,Ethical Perspective
very fun gg,Fun Factor
What Pokemon wanted to be and could have been.,"Intended Vision, Unrealized Potential"
"Its just what i needed being a Pokemon fan, this is what Legends Arceus should have been","Pokemon Fan Perspective, Comparison to Legends Arceus"
"Absolutely love this, especially with friends.",Social Enjoyment
Spent tens of hours catching and breeding animals in order to create the cutest war crime known to man. 10/10 - Would burninate the countryside again.,"Gameplay Loop, Entertainment Value, Replayability"
eh,General Indifference
"Pls, don't delete the mount system in this game,",Gameplay Mechanics
Best monster catcher currently available. Pocket pair took what gamers have been asking for for years when it comes to this genre of game and added more than we could have bargained for. Support these developers and lets hope the additional content drops soon!,"Genre Excellence, Community Fulfillment, Developer Support"
"This game is what pokemon and nintendo wish they had made, and now out of spite and jealousy they are trying to sue and slander actual creators. 
Game plays well has lovely sound and music overall, but ambience sound alone deserves am award.
Difficulty wise the game offers a bit for everyone from casuals to more extreme challenges. 
Map size is much bigger then i expected and the developers are still expanding it somewhat regularly. Alone is good and with friends is even better. A solid 9/10 from me at the time of review.","Industry Comparison, Audio Quality, Gameplay Variety"
yes,General Approval
"Honestly, I've spent more money on far less. This game's good. That's really all you can say about it.","Consumer Value, Price Perspective"
is good,Overall Quality
The best game. 10/10,Overall Quality
Pokemald fans be malding frfr.,"Fan Reaction, Community Sentiment"
it has a potential to be the game of the year of beat other historical games like minecrat. It only depends if the developers  want to keep updating it. awesome game!,"GOTY Potential, Developer Updates"
A game that's only going to get better with time. Loads of content already for being in EA. Very Stable as well. Can't wait to see what the future holds for this game.,"Technical Stability, Early Access Content, Future Potential"
Extremely addictive! Money well spend! Maybe pvp with matchmaking feature would make the game even more fun.,"Consumer Value, Gameplay Engagement, Multiplayer Features"
"If Nintendo's new Switch 2 wasn't reason enough to try this game out, let this review be! It's everything that I wanted from Poke'Mon with the bonus of GUNS! So, if I'm annoyed, I can pew pew, but if I just wanna chill, I can build my pals some beds and chill with them, or just go catch a bunch on the hunt for the strongest pal! Bonus, they do all the work for you! I personally like to treat my pals as if they were pals and make little cozy areas, but don't let me stop you from living your dictator dreams! 10/10 Would recommend and play again!","Gameplay Versatility, Playstyle Freedom, Pokémon Enhancement"
This is what happens when Digimon and Pokemon put their beds together in Minecraft!,"Genre Fusion, Franchise Comparison"
"Ark, Pokemon, Satisfactory, Zelda and Elden Ring all packed into one enjoyable experience. Game is great.","Genre Fusion, Overall Enjoyment"
GOTTA CATCH EM ALL!!!!,Collection Perspective
this game is and can be a great way to pass time and the game play is hard but only in the harder areas is all around a great game,"Consumer Value, Gameplay Difficulty"
it is amasing,Overall Experience
"I never got to play Pokemon as a kid, so this is like getting to play with a bunch of people back when Pokemon was at its height of popularity.  I love that this is an alternative.  Cause the pets are super cute, and it's also its own game - I loved Craftopia so the whole thing is a blast.  The bugs don't even annoy me, it's just cute pets getting stuck in stuff, how could you get frustrated at that?  I'm having a blast!","Nostalgic Appeal, Cute Aesthetics, Fun Tolerance"
After hosting a server for less than 48hrs I already have to factory reset it because of the new player file corruption bug. Another title rushing its game out during the hype to gobble up as many potential buyers only to serve them a compost bed worth of bugs.,"Technical Stability, Rushed Release"
"Ever wanted Pokemon on PC? But do you also enjoy open world survival crafting games? You do? Did you love playing games such as Breath of the Wild, ARK Survival Evolved, and maybe even Genshin Impact?

Palworld manages to take certain aspects of all those games, and mash them into one and it's nothing short of good fun time!","Genre Fusion, Entertainment Value"
good but need to fix control settings,"Consumer Value, Technical Stability"
Pokemon go brrrr,"Gameplay Excitement, Addictiveness"
